sitename,address,city,dist,lat,lon
東吳大學城區部站,台北市中正區延平南路133巷底(近東吳大學校區),台北市,中正區,25.0378416,121.5085023
全聯中正延平店站,台北市中正區延平南路189號(近延平南路/中華路二段75巷口),台北市,中正區,25.0337995,121.5075571
台北喜來登大飯店站,台北市中正區忠孝東路一段12號(近忠孝東路一段/鎮江街口),台北市,中正區,25.0445802,121.5224401
宏佳騰中正重慶店站,台北市中正區重慶南路二段73號(近重慶南路二段/寧波西街口),台北市,中正區,25.0302608,121.515271
西歐台北自強加油站,台北市內湖區內湖路一段146號(近內湖路一段/基湖路口),台北市,內湖區,25.082615,121.5641476
中油內湖麗山街加油站,台北市內湖區內湖路一段362號(近台新銀行內湖分行),台北市,內湖區,25.0812318,121.5710406
Gogoro 內湖西湖服務中心站,台北市內湖區內湖路一段411巷19弄17號(近麗山國小),台北市,內湖區,25.0823635,121.5718974
中油台北西湖加油站,台北市內湖區內湖路一段59號(近內湖路一段/文湖街口),台北市,內湖區,25.0850789,121.5599701
家樂福內湖店站,台北市內湖區民善街88號(近民善街/新湖二路口),台北市,內湖區,25.0601551,121.5749954
臺北市網球中心站,台北市內湖區民權東路六段208號(近民權東路六段/民權東路六段210巷口),台北市,內湖區,25.0675684,121.5969537
Gogoro 台北內湖服務中心站,台北市內湖區民權東路六段296巷66-3號(近捷運葫洲站),台北市,內湖區,25.070484,121.6086581
大湖公園地下停車場B1F站,台北市內湖區成功路5段7號(地下一樓機車停車場)(近湖山六號公園),台北市,內湖區,25.0835653,121.6020551
台北捷運大湖公園站,台北市內湖區成功路五段捷運站1號出口(近捷運站機車轉乘停車場),台北市,內湖區,25.0785936,121.6070835
CITYLINK 內湖店站,台北市內湖區成功路四段188號(近金龍路/內湖路二段口),台北市,內湖區,25.0846317,121.5938439
中油東湖加油站,台北市內湖區康寧路三段225號(近捷運東湖站3號出口),台北市,內湖區,25.0674116,121.6119972
7-ELEVEN 瓏馬店站,台北市內湖區康樂街213號(近康樂公園),台北市,內湖區,25.0761356,121.6217171
遠傳總部大樓站,台北市內湖區瑞光路468號(近遠傳瑞光直營門市),台北市,內湖區,25.0783672,121.5699158
7-ELEVEN 環金店站,台北市內湖區環山路二段81號(近德明財經科技大學),台北市,內湖區,25.0847292,121.5748886
