名稱,經度,緯度
全聯觀音中山店站,121.140719,25.010102
中油民生東路加油站,121.563762,25.059514
蒲園商旅站,121.563424,25.048598
全家新城民益店站,121.613985,24.007066
UNIQLO 蘆洲長榮路店站(多站),121.459562,25.085902
臺中市頂寮社區活動中心站(多站),120.53604,24.264781
全家大里永勝店站(多站),120.675974,24.114709
全聯台南崇明店站,120.2228,22.974818
北基中央路加油站,121.601585,24.003982
全家台南東文店站,120.233251,22.978021
啟聰學校地下停車場B1F站,121.511762,25.074298
中油關原加油站(多站),121.342121,24.184796
臺北市信義廣場站(多站),121.566039,25.033905
全家大里大金店站(多站),120.690631,24.090151
中油竹苗加油站,120.92155,24.71523
HiLife 仁武澄湖店站,120.349522,22.687663
大潤發台東店站,121.106042,22.772639
大潤發鳳山店站,120.355346,22.633626
7-ELEVEN 名言店站,120.349173,22.524527
Gogoro 台南裕農服務中心站,120.246176,22.990364
新北市三重區公所站(多站),121.48878,25.061236
台東好站(多站),121.146998,22.753797
新竹市科學園路停車場站(多站),121.009675,24.786707
814生鮮超市屏東麟洛店站(多站),120.525491,22.649071
Gogoro 三重福德北門市店站(多站),121.502322,25.064445
新北市洲子洋公園站(多站),121.448888,25.095696
龍都新城社區站,121.787516,25.13556
中油朴子山通路加油站,120.25506,23.465617
中油高雄四維三路加油站,120.311845,22.619276
宏佳騰台中豐原店站,120.7123,24.262211
東河鄉農會信用部本會站,121.22894,22.87505
新北市學成公園地下停車場B1F站,121.451304,24.988084
彰化員林轉運站(多站),120.568725,23.962583
Gogoro 東港光復門市站,120.458441,22.470274
家樂福苗栗店站(多站),120.81793,24.57422
全家善化和平店站(多站),120.298095,23.132263
HiLife 台中永太店站,120.682503,24.164963
中油台糖七星加油站,120.723892,24.29796
中油大福加油站,121.814953,24.789906
中油台糖忠勇加油站,120.611815,24.135804
IKEA 內湖店站(多站),121.578313,25.059899
福懋林邊加油站,120.508255,22.44283
中油新崎加油站,121.040601,24.890923
中油美得玉豐加油站,121.323766,23.357894
全家台中睿景店站(多站),120.711821,24.16482
7-ELEVEN 超全店站(多站),120.342402,22.610313
新北市水碓立體停車場站(多站),121.443905,25.178356
麻豆區農會站,120.241092,23.186424
YAMAHA 南投西安店站,120.969434,23.968545
全家高雄心衙店站,120.315877,22.58169
中油高鳳加油站,120.342597,22.628114
全家內埔埔勝店站,120.562725,22.619384
中油十興加油站,121.032684,24.816675
故宮廣場停車場站(多站),121.547971,25.098664
臺北市大同區承德路三段站(多站),121.518626,25.071018
中油西拉雅加油站,120.294915,23.105859
7-ELEVEN 新東專店站,120.249708,22.880454
YAMAHA 三重重安店站,121.493033,25.055845
中油小港加油站,120.343796,22.567978
合作金庫銀行總行站(多站),121.546029,25.049025
台北捷運奇岩站(多站),121.500708,25.126889
新莊頭前運動公園站,121.463632,25.051628
新北市大豐公園附設停車場站(多站),121.535331,24.978878
Gogoro 桃園永安服務中心站,121.30274,24.998611
中油永安加油站(多站),120.242096,22.814379
特力屋屏東店站(多站),120.510095,22.660723
屏東里港郵局站,120.49425,22.772574
中油明星加油站,120.58369,23.99253
桃園市雙嶺停車場站,121.162922,24.960966
中油永康正大加油站,120.225702,23.030388
中華電信大園服務中心站(多站),121.194035,25.064099
中油日祥加油站,120.258316,23.74155
家樂福文心店站(多站),120.646405,24.153916
台糖萬興加油站,120.417559,23.954844
全家新竹遠百店站,120.963895,24.801708
八百屋屏東店站(多站),120.483905,22.687549
中油恩光中清交流道加油站,120.656877,24.20094
全家高雄新勝店站(多站),120.29955,22.668324
中油千越路竹加油站,120.25115,22.88039
HiLife 高市英祥店站,120.325729,22.616754
中油龍壽街加油站,121.267519,24.987289
中油五甲加油站,120.354424,22.618349
中油台中復興路加油站,120.669174,24.128867
中油民德加油站,120.96162,24.85611
合作金庫銀行自強分行站,121.531992,25.052507
宏佳騰彰化員林店站,120.571525,23.96895
金弘笙桃園經國店站(多站),121.301867,25.025591
臺中市東欣停車場站(多站),120.679047,24.153154
中油千越開元加油站,120.22391,23.010171
員林市廣三停車場站(多站),120.567163,23.968809
新北市枋寮公有零售市場站,121.5013,25.00023
全家太平永豐店站,120.711916,24.123392
八百屋保泰店站(多站),120.333817,22.602716
Gogoro 西屯甘肅服務中心站,120.655884,24.171514
全家新城太魯閣店站,121.644155,24.131322
全聯桃園天祥店站(多站),121.303674,25.018815
全聯大溪中正店站,121.288911,24.882347
西歐台北自強加油站,121.564076,25.082611
德昌停車場站(多站),120.317059,22.584016
HiLife 桃縣桃魏店站,121.212407,24.885817
桃園市站前東停車場站,121.21869,25.0121
中油魚池加油站,120.928951,23.902409
中油中興路加油站,120.42837,23.47634
味香山海產店站(多站),120.44761,22.766329
全家板橋正隆店站,121.477154,25.013572
中油台糖南新加油站,120.693005,23.872008
福懋益民加油站,120.517541,24.06157
宜蘭縣五結鄉農會利澤辦事處站,121.821919,24.667267
台北捷運大湖公園站(多站),121.602302,25.083997
車麗屋新竹中華店站,120.991031,24.814029
新北市中誠立體停車場站(多站),121.451561,25.047605
中油美得大學加油站,121.555643,23.896744
臺中市東區泉源里等四里多功能聯合活動中心站(多站),120.694207,24.136534
PGO 大同延平店站,121.511065,25.066665
Gogoro 左營博愛店站(多站),120.303626,22.669637
Gogoro 台南健康店站,120.209983,22.981454
新市區農會站,120.29551,23.079684
台溪里民集會所站(多站),120.957478,24.797188
Gogoro 沙鹿中山門市站,120.561004,24.241308
全聯鹿港彰頂店站(多站),120.480172,24.087042
宏佳騰台南中華店站,120.229333,23.016053
新北市永和國父紀念館站,121.520079,25.008534
全聯朴子四維店站,120.23711,23.461433
臺鐵臺北貨運所楊梅車站後站(多站),121.146065,24.914575
全家竹東新市店站,121.056965,24.769321
A4 新莊副都心站(多站),121.445597,25.05903
新北市中和區景平路站,121.498466,24.999873
中油新埤加油站,120.548482,22.469628
中油茄萣加油站,120.184092,22.906892
中油元井加油站,120.540405,24.210146
太平洋建設德行東路站(多站),121.534334,25.110008
全家台南長順店站,120.204614,23.002342
中油安樂加油站,121.718752,25.12651
全家大里金大發店站,120.706791,24.095186
鹿港鎮北區遊客中心停車場站(多站),120.434945,24.058833
台糖廣興加油站,120.489547,22.693792
全聯台中福星店站,120.644776,24.184507
中油台糖光明加油站,120.449138,23.707705
臺北市網球中心站(多站),121.596994,25.067603
中油台糖大湖加油站,120.248377,22.883668
挪威森林行旅3號館站(多站),120.685896,24.138894
台北捷運新店站(多站),121.537639,24.958688
7-ELEVEN 立東店站,120.234438,22.977225
台灣高鐵桃園站,121.216486,25.01445
全家高雄大坪頂店站,120.381676,22.556231
7-ELEVEN 泰昌店站(多站),121.294872,24.987945
中油赤崁加油站,119.603063,23.667864
山隆大發加油站(多站),120.405537,22.594708
中油平和加油站,120.48218,23.95672
家樂福彰化店站(多站),120.542475,24.094564
新莊鴻寶站(多站),121.465337,25.042181
全家台中金美店站,120.636309,24.141238
新北市十八份坑溪機車停車場站(多站),121.412826,25.031059
中油吳鳳廟加油站,120.538413,23.442402
濱海停車場站(多站),120.269505,22.624185
中油新力加油站,120.223965,22.922265
中油芬園加油站,120.627382,24.018619
中油柑園楊梅加油站,121.150922,24.907244
全家太平光德店站(多站),120.721281,24.10145
全聯嘉義大雅店站,120.46939,23.477525
全家美華店站(多站),121.556154,25.084952
中油永秦加油站,121.448549,25.165842
統冠超市富安店站,121.598229,23.992741
台亞新莊化成路加油站,121.464867,25.060795
臺北市松隆平面停車場站(多站),121.575822,25.04833
7-ELEVEN 上楓樹店站,120.627528,24.118175
HiLife 台中中軍店站,120.71962,24.178299
全聯台中北屯二店站(多站),120.698946,24.175823
喜互惠順安店站(多站),121.761931,24.655222
北投運動中心站,121.509634,25.116175
高雄市文化中心站(多站),120.319454,22.625839
台亞汐止好市多加油站(多站),121.632033,25.05566
全聯小港山明店站(多站),120.365563,22.565797
中油新屋加油站,121.11021,24.970931
7-ELEVEN 協元店站,121.441348,25.174153
新北市環河東路二段站(多站),121.524477,25.009794
中油大度山加油站,120.590698,24.184432
小北百貨新市店站,120.293498,23.075334
中油彰化加油站,120.553863,24.084911
中油中新加油站,121.126583,25.017071
全家蘆竹吉林店站(多站),121.29606,25.05134
全聯鳳山保華一店站,120.346931,22.589357
中油竹塘加油站,120.429197,23.857975
臺中市廣停停車場站(多站),120.666014,24.154776
啄木鳥藥局埔里店站(多站),120.953626,23.969633
台北捷運昆陽站(多站),121.594706,25.050816
喜互惠和平店站,121.766318,24.823656
中油喜樹加油站,120.179956,22.946138
全家林園鳳林店站,120.397856,22.504009
中油永康加油站,120.254909,23.041786
臺中市東峰停車場站(多站),120.684813,24.122169
宏佳騰中壢中山東店站(多站),121.248268,24.944236
台灣高鐵彰化站,120.573226,23.872778
中油頭份加油站,120.912481,24.691012
全聯永靖中山店站,120.545954,23.916888
北基朝陽加油站,121.311041,25.000529
西歐台北士林加油站(多站),121.528397,25.095367
7-ELEVEN 精科店站(多站),120.611003,24.145256
高雄市養工處博愛三路50巷站(多站),120.304291,22.671846
美廉社屏東新園店站,120.458931,22.490996
全聯彰化育英店站,120.573937,23.969345
全家霧峰新六順店站(多站),120.703054,24.070718
中油南強加油站,121.3329,24.99303
7-ELEVEN 柏魁店站(多站),121.368056,25.024967
Gogoro 南屯大墩十四服務中心站,120.64548,24.15247
全家大港店站,121.521491,25.084798
7-ELEVEN 和港店站,120.490086,24.131896
台北捷運明德站(多站),121.519588,25.108937
台亞麟洛交流道加油站,120.533452,22.643214
7-ELEVEN 新石岡店站,120.777115,24.274536
高雄市養工處德民路站(多站),120.293848,22.721682
台北捷運忠義站(多站),121.472615,25.130607
7-ELEVEN 橫溪店站,121.398396,24.935507
全聯台中遊園店站,120.581171,24.174169
全聯關新西店站,121.019732,24.78951
新北市交通公園站(多站),121.538003,24.976983
7-ELEVEN 永在店站,120.654638,24.391794
7-ELEVEN 孔鳳店站,120.371697,22.579074
中油世賢加油站,120.434056,23.460579
南投縣草屯鎮大成街停車場站(多站),120.688045,23.978026
福懋燕巢加油站,120.349922,22.792407
全聯朴子文化店站,120.241413,23.464506
延平北路5段臨時平面停車場站(多站),121.509935,25.078805
中油瑞穗加油站,121.377251,23.493595
台糖萬泰加油站,120.484169,22.589878
桃園市建國一村停車場站(多站),121.324436,24.992034
HiLife 中縣中航店站,120.60144,24.258345
7-ELEVEN 鯤鯓店站,120.184152,22.959167
7-ELEVEN 展穫店站,120.321497,22.879924
中油大村加油站,120.550217,23.991739
中油草溪路加油站,120.67238,23.9586
中油大旺加油站,120.274137,22.969311
全聯台中沙鹿店站,120.559117,24.239538
Gogoro 永和樂華門市站(多站),121.514088,25.010279
新北市清水社區公園站(多站),121.463261,24.984682
臺北市公共運輸處大樓站,121.573623,25.031655
關聖里停車場站(多站),120.241078,22.985607
中油三仙台加油站,121.388368,23.114375
榮星花園地下停車場B1F站,121.538248,25.064194
基隆東岸地下停車場B1F站,121.743701,25.130267
中油重陽路加油站,121.492899,25.071892
Gogoro 樹林三俊門市站,121.422564,25.014202
中油惠暘加油站,121.197925,24.974578
814生鮮超市高雄大社店站(多站),120.343908,22.732159
中油南寮加油站,120.927897,24.845864
臺鐵竹南車站(多站),120.880383,24.687066
板橋第一體育場站(多站),121.467096,25.010119
中油美得潭子加油站,120.702444,24.197028
中油新樹加油站(多站),121.440719,25.033311
福懋新美加油站,120.529247,24.09573
臺北市萬華站前廣場站(多站),121.500275,25.033865
蘭潭國小停14停車場站,120.472786,23.476024
7-ELEVEN 期建店站,120.182161,22.988472
Gogoro 桃園三民服務中心站,121.307576,24.983339
中油竹山延平加油站,120.709679,23.77542
山隆大里加油站(多站),120.684547,24.096565
全家基隆中山店站,121.740529,25.13812
HiLife 高市神農店站(多站),120.391815,22.649519
中油好客加油站,121.07378,24.775366
全家新竹金湖店站(多站),120.967357,24.78286
美廉社新竹崧嶺店站,120.95563,24.79521
7-ELEVEN 金倫店站,120.963694,22.531401
7-ELEVEN 明城店站,120.32192,23.855759
全聯豐原田心店站,120.72107,24.239562
統冠超市慶豐店站(多站),121.569924,23.978401
福懋中壢加油站,121.196617,24.975352
Gogoro 北屯文心服務中心站,120.695002,24.171176
新北市永和仁愛公園站(仁愛路側)C,121.506813,25.00996
順發3C潮州店站,120.540136,22.557923
台糖大林加油站,120.459967,23.59673
全聯台中龍門店站(多站),120.633922,24.162358
全家台南仁德仁紡店站(多站),120.253367,22.963297
中油官田加油站,120.337432,23.179906
7-ELEVEN 和全店站(多站),120.505733,24.114082
全聯淡水中山店站(多站),121.444488,25.184408
中油板和加油站,121.480797,25.009746
PGO 高雄明誠店站,120.314311,22.659934
新北市老街第二停車場站,121.343251,24.949498
PGO 中壢元化店站,121.220304,24.962742
台南市北區北成路38巷停車場站(多站),120.210561,23.018856
全聯平鎮中豐店站,121.210527,24.910752
高雄市養工處民族二路站(多站),120.3133,22.63463
臺鐵臺北貨運所基隆車站,121.737896,25.131071
宏佳騰台南東區店站(多站),120.229819,22.981652
台南市友愛街立體機車停車場站(多站),120.205876,22.991001
Gogoro 左營自由四服務中心站,120.317981,22.68667
車之輪嘉西門市站,120.42866,23.48066
全聯長治潭頭店站,120.525335,22.675655
臺中市文心路辦公園區站(多站),120.648401,24.160122
中油日清加油站,121.06432,24.78783
Gogoro 桃園服務中心站,121.318503,24.990961
全聯頭份中央店站,120.891643,24.694585
桃園市上海停車場站,121.207039,24.913552
全聯清水中興店站(多站),120.574976,24.271924
Gogoro 中壢環西門市店站,121.207197,24.95936
全聯新屋中山店站,121.101065,24.973058
奇美醫院第五停車場站(多站),120.21744,23.019766
新市法庭停車場站(多站),120.290036,23.07332
中油勝中加油站,120.544489,24.02102
中油坤業加油站,121.362999,25.001212
府前停18停車場站,120.18903,22.992178
7-ELEVEN 見晴園店站(多站),121.158163,24.041202
東橋八街停車場站(多站),120.234118,23.020649
新北市養工處淡水濱海路站(多站),121.444336,25.188901
中油光明加油站,120.479941,24.001521
全聯南投學藝店站,120.688614,23.950059
新北市環河公園停車場站,121.450602,25.016546
中油清水加油站,120.578493,24.277794
新北市智興立體停車場站(多站),121.657203,25.064074
7-ELEVEN 港區店站,120.529627,24.253208
全聯彰化伸港店站,120.48681,24.149015
中油台糖建軍加油站,120.360871,22.598052
桃園市大溪區農會站,121.328708,24.831901
